"",DRUG_ID,COSMIC_ID,LN_IC50,MAX_CONC_MICROMOLAR,Cell_Line,Drug_Name,Synonyms
"59",1026,687983,1.16104349,1,DMS114,TANESPIMYCIN,"17-AAG, BMS-722782"
"60",1026,906842,1.89884938,1,DOHH2,TANESPIMYCIN,"17-AAG, BMS-722782"
"61",1026,1479987,-3.60404508,1,DOV13,TANESPIMYCIN,"17-AAG, BMS-722782"
"62",1026,905935,0.75406092,1,DU145,TANESPIMYCIN,"17-AAG, BMS-722782"
"63",1026,906846,2.31099941,1,EB2,TANESPIMYCIN,"17-AAG, BMS-722782"
"64",1026,753554,-4.28119965,1,EBC1,TANESPIMYCIN,"17-AAG, BMS-722782"
"65",,,,,EFM19,TANESPIMYCIN,
"66",1026,911905,1.51747545,1,EFO21,TANESPIMYCIN,"17-AAG, BMS-722782"
"67",1026,906852,-2.26581524,1,EFO27,TANESPIMYCIN,"17-AAG, BMS-722782"
"68",1026,906855,0.71644943,1,EM2,TANESPIMYCIN,"17-AAG, BMS-722782"
"69",1026,1240127,0.45398289,1,EN,TANESPIMYCIN,"17-AAG, BMS-722782"
"70",1026,1240128,-0.403085,1,ES2,TANESPIMYCIN,"17-AAG, BMS-722782"
"71",1026,907000,-1.57134873,1,ESS1,TANESPIMYCIN,"17-AAG, BMS-722782"
"72",1026,906863,-4.29778267,1,FADU,TANESPIMYCIN,"17-AAG, BMS-722782"
"73",1026,1290806,-4.48677922,1,FU97,TANESPIMYCIN,"17-AAG, BMS-722782"
"74",1026,1240129,1.13522436,1,FUOV1,TANESPIMYCIN,"17-AAG, BMS-722782"
"75",1026,906865,-1.18169314,1,G361,TANESPIMYCIN,"17-AAG, BMS-722782"
"76",1026,907299,-2.11215333,1,G401,TANESPIMYCIN,"17-AAG, BMS-722782"
"77",1026,907298,-2.67266218,1,G402,TANESPIMYCIN,"17-AAG, BMS-722782"
"78",1026,906868,-3.05537716,1,GAMG,TANESPIMYCIN,"17-AAG, BMS-722782"
"79",1026,687568,1.45559765,1,GB1,TANESPIMYCIN,"17-AAG, BMS-722782"
"80",1026,906869,0.05305764,1,GCIY,TANESPIMYCIN,"17-AAG, BMS-722782"
"81",,,,,GCT,TANESPIMYCIN,
"82",1026,906871,-1.8502983,1,GI1,TANESPIMYCIN,"17-AAG, BMS-722782"
"83",1026,906873,-2.53984343,1,GMS10,TANESPIMYCIN,"17-AAG, BMS-722782"
"84",1026,1303897,1.7107865,1,GRANTA519,TANESPIMYCIN,"17-AAG, BMS-722782"
"85",1026,907042,-3.42909491,1,H4,TANESPIMYCIN,"17-AAG, BMS-722782"
"86",1026,1240142,-2.08518098,1,HARA,TANESPIMYCIN,"17-AAG, BMS-722782"
"87",1026,749711,2.24472885,1,HCC1187,TANESPIMYCIN,"17-AAG, BMS-722782"
"88",1026,749712,0.71855092,1,HCC1395,TANESPIMYCIN,"17-AAG, BMS-722782"
"89",1026,1240143,-2.27585747,1,HCC15,TANESPIMYCIN,"17-AAG, BMS-722782"
"90",1026,907046,-0.14693218,1,HCC1569,TANESPIMYCIN,"17-AAG, BMS-722782"
"91",1026,907047,-2.00693699,1,HCC1806,TANESPIMYCIN,"17-AAG, BMS-722782"
"92",1026,749709,0.15762793,1,HCC1954,TANESPIMYCIN,"17-AAG, BMS-722782"
"93",1026,1240145,-4.26097657,1,HCC44,TANESPIMYCIN,"17-AAG, BMS-722782"
"94",1026,1290907,-0.80872116,1,HCC56,TANESPIMYCIN,"17-AAG, BMS-722782"
"95",,,,,HCC70,TANESPIMYCIN,
"96",1026,1290908,-1.43696802,1,HCC78,TANESPIMYCIN,"17-AAG, BMS-722782"
