"",nci_ccle_cells
"1",7860
"2",A549
"3",ACHN
"4",BT549
"5",COLO205
"6",DU145
"7",HCT116
"8",HCT15
"9",HS578T
"10",HT29
"11",IGROV1
"12",LOXIMVI
"13",MALME3M
"14",MCF7
"15",MDAMB468
"16",NCIH226
"17",NCIH23
"18",NCIH460
"19",NCIH522
"20",OVCAR4
"21",OVCAR8
"22",PC3
"23",SF295
"24",SKMEL2
"25",SKMEL5
"26",SKOV3
"27",SW620
"28",T47D
"29",UACC257
"30",UACC62
