"",Cell_Line,Compound,Doses,IC50
"1420",REH,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1421",RERFGC1B,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1422",RERFLCMS,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1423",RKN,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1424",RKO,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1425",RL952,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",3.060330629
"1426",RPMI7951,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1427",RPMI8402,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1428",RT112,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1429",RT4,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1430",RVH421,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1431",SAOS2,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1432",SBC5,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1433",SCABER,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",0.734280467
"1434",SCC25,ERLOTINIB,,
"1435",SCC9,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",1.494333386
"1436",SF126,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1437",SF295,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1438",SHP77,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1439",SIGM5,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",5.476659923
"1440",SIMA,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1441",SJRH30,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1442",SJSA1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1443",SKCO1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1444",SKES1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1445",SKHEP1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",7.896037102
"1446",SKLMS1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",4.445358753
"1447",SKLU1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1448",SKMEL2,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1449",SKMEL24,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1450",SKMEL30,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1451",SKMEL31,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1452",SKMEL5,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1453",SKMES1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",0.96515131
"1454",SKMM2,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",3.537265301
"1455",SKNAS,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1456",SKNDZ,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1457",SKNFI,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1458",SKNSH,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1459",SKOV3,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1460",SNGM,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1461",SNU182,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1462",SNU387,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1463",SNU398,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1464",SNU423,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1465",SNU449,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1466",SNU475,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1467",SU8686,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1468",SUDHL10,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1469",SUDHL4,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1470",SUDHL6,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1471",SUDHL8,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1472",SUIT2,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1473",SUPM2,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1474",SUPT1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1475",SW1088,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1476",SW1271,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1477",SW1417,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1478",SW1573,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1479",SW1990,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1480",SW403,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1481",SW48,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",1.215090156
"1482",SW620,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1483",SW780,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1484",SW900,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1485",T24,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",7.82816124
"1486",T47D,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1487",T84,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1488",T98G,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1489",TC71,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1490",TCCSUP,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1491",TE1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",7.821309566
"1492",TE11,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",0.987239659
"1493",TE15,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",0.877725303
"1494",TE5,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1495",TE9,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1496",TOV112D,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1497",TOV21G,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",6.919062614
"1498",TT2609C02,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1499",TYKNU,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1500",U118MG,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1501",U2OS,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1502",U87MG,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1503",UACC257,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1504",UACC62,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1505",UACC812,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",0.912124534
"1506",UMUC3,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1507",VMRCLCD,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1508",VMRCRCW,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1509",VMRCRCZ,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1510",WM115,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1511",YKG1,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1512",ZR7530,ERLOTINIB,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1513",22RV1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.080764666
"1514",42MGBA,IRINOTECAN,,
"1515",5637,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.06704437
"1516",639V,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.069568723
"1517",697,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.034992039
"1518",769P,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.740817904
"1519",7860,IRINOTECAN,,
"1520",8305C,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.502822995
"1521",8505C,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.124696016
"1522",8MGBA,IRINOTECAN,,
"1523",A172,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.508602798
"1524",A204,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.166834161
"1525",A2058,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.145224854
"1526",A253,IRINOTECAN,,
"1527",A2780,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.061784048
"1528",A375,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.146155894
"1529",A549,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.412400216
"1530",A673,IRINOTECAN,,
"1531",ACHN,IRINOTECAN,,
"1532",ALLSIL,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.023089293
"1533",AMO1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.128391176
"1534",AN3CA,IRINOTECAN,,
"1535",ASPC1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.792062342
"1536",AU565,IRINOTECAN,,
"1537",BCPAP,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.200658202
"1538",BFTC909,IRINOTECAN,,
"1539",BL41,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.048047401
"1540",BL70,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.04605921
"1541",BT20,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.269114286
"1542",BT474,IRINOTECAN,,
"1543",BT549,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.124761164
"1544",BXPC3,IRINOTECAN,,
"1545",C2BBE1,IRINOTECAN,,
"1546",C32,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.636802912
"1547",C3A,IRINOTECAN,,
"1548",CAL12T,IRINOTECAN,,
"1549",CAL27,IRINOTECAN,,
"1550",CAL78,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.285712391
"1551",CAL851,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.262406975
"1552",CALU3,IRINOTECAN,,
"1553",CALU6,IRINOTECAN,,
"1554",CAMA1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.345670938
"1555",CAPAN2,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.875530243
"1556",CAS1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.778563261
"1557",CCK81,IRINOTECAN,,
"1558",CHL1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.265276551
"1559",CHP212,IRINOTECAN,,
"1560",COLO205,IRINOTECAN,,
"1561",COLO678,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",2.113509417
"1562",COLO679,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.5789662
"1563",COLO741,IRINOTECAN,,
"1564",CORL105,IRINOTECAN,,
"1565",CORL23,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.491822183
"1566",DAOY,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.189579859
"1567",DBTRG05MG,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.085044153
"1568",DEL,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.011414592
"1569",DETROIT562,IRINOTECAN,,
"1570",DKMG,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.584982872
"1571",DMS114,IRINOTECAN,,
"1572",DOHH2,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.094600096
"1573",DOV13,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.082012415
"1574",DU145,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.198496774
"1575",EB2,IRINOTECAN,,
"1576",EBC1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.124000698
"1577",EFM19,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.922290325
"1578",EFO21,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.714112222
"1579",EFO27,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.519779325
"1580",EM2,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.04779857
"1581",EN,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",4.784356117
"1582",ES2,IRINOTECAN,,
"1583",ESS1,IRINOTECAN,,
"1584",FADU,IRINOTECAN,,
"1585",FU97,IRINOTECAN,,
"1586",FUOV1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.313900679
"1587",G361,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.222893253
"1588",G401,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.084212132
"1589",G402,IRINOTECAN,,
"1590",GAMG,IRINOTECAN,,
"1591",GB1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.078636877
"1592",GCIY,IRINOTECAN,,
"1593",GCT,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.050006822
"1594",GI1,IRINOTECAN,,
"1595",GMS10,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",2.797261953
"1596",GRANTA519,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.030715285
"1597",H4,IRINOTECAN,,
"1598",HARA,IRINOTECAN,,
"1599",HCC1187,IRINOTECAN,,
"1600",HCC1395,IRINOTECAN,,
"1601",HCC15,IRINOTECAN,,
"1602",HCC1569,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.723442316
"1603",HCC1806,IRINOTECAN,,
"1604",HCC1954,IRINOTECAN,,
"1605",HCC44,IRINOTECAN,,
"1606",HCC56,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.125410199
"1607",HCC70,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.075391009
"1608",HCC78,IRINOTECAN,,
"1609",HCC827,IRINOTECAN,,
"1610",HCT116,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.276744455
"1611",HCT15,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.26266107
"1612",HDMYZ,IRINOTECAN,,
"1613",HDQP1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.174632937
"1614",HGC27,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"1615",HH,IRINOTECAN,,
"1616",HLE,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.419608593
"1617",HOS,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.283931613
"1618",HPAC,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.722931325
"1619",HPAFII,IRINOTECAN,,
"1620",HS578T,IRINOTECAN,,
"1621",HS683,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.422525823
"1622",HS746T,IRINOTECAN,,
"1623",HS766T,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",5.188987255
"1624",HS939T,IRINOTECAN,,
"1625",HSC2,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.141894951
"1626",HT,IRINOTECAN,,
"1627",HT1080,IRINOTECAN,,
"1628",HT1197,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",3.058591604
"1629",HT1376,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",2.700818062
"1630",HT144,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.705108225
"1631",HT29,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.301147372
"1632",HUCCT1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.397503495
"1633",HUH1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.326290578
"1634",HUPT3,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.762922764
"1635",HUPT4,IRINOTECAN,,
"1636",IALM,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.086725235
"1637",IGR37,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.27013734
"1638",IGROV1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.793657839
"1639",IM95,IRINOTECAN,,
"1640",IPC298,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.35077408
"1641",ISTMES1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.621329963
"1642",J82,IRINOTECAN,,
"1643",JHH2,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.848505259
"1644",JHH4,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.277152896
"1645",JHH6,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",3.094129562
"1646",JHH7,IRINOTECAN,,
"1647",JHOS2,IRINOTECAN,,
"1648",JHOS4,IRINOTECAN,,
"1649",JM1,IRINOTECAN,,
"1650",JURKAT,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.057521079
"1651",JVM3,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.018932486
"1652",KALS1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.959533691
"1653",KARPAS299,IRINOTECAN,,
"1654",KARPAS422,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.173049331
"1655",KARPAS620,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",2.158792496
"1656",KCL22,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.129412934
"1657",KELLY,IRINOTECAN,,
"1658",KG1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.250821879
"1659",KLE,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.983213782
"1660",KMRC1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.458422363
"1661",KMS11,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.417666435
"1662",KMS12BM,IRINOTECAN,,
"1663",KNS42,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.747000277
"1664",KNS62,IRINOTECAN,,
"1665",KO52,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.0992705
"1666",KP1N,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.541691184
"1667",KP2,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.598707199
"1668",KP3,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",2.133014202
"1669",KP4,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.256401986
"1670",KU812,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.449586183
"1671",KURAMOCHI,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.841904879
"1672",KYM1,IRINOTECAN,,
"1673",KYSE140,IRINOTECAN,,
"1674",KYSE150,IRINOTECAN,,
"1675",KYSE180,IRINOTECAN,,
"1676",KYSE30,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.788275123
"1677",KYSE410,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.140010215
"1678",KYSE450,IRINOTECAN,,
"1679",KYSE510,IRINOTECAN,,
"1680",KYSE520,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",2.260991573
"1681",KYSE70,IRINOTECAN,,
"1682",L363,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.050349064
"1683",L428,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.370309383
"1684",LCLC103H,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.152564049
"1685",LN18,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.750220239
"1686",LN229,IRINOTECAN,,
"1687",LOUNH91,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.076675788
"1688",LOXIMVI,IRINOTECAN,,
"1689",LP1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.010143757
"1690",LS123,IRINOTECAN,,
"1691",LS411N,IRINOTECAN,,
"1692",LS513,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.218933001
"1693",MALME3M,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.857961059
"1694",MC116,IRINOTECAN,,
"1695",MCAS,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.814044297
"1696",MCF7,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.402109355
"1697",MDAMB157,IRINOTECAN,,
"1698",MDAMB175VII,IRINOTECAN,,
"1699",MDAMB415,IRINOTECAN,,
"1700",MDAMB436,IRINOTECAN,,
"1701",MDAMB453,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.111045882
"1702",MDAMB468,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.164094135
"1703",MEG01,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.499857932
"1704",MELHO,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.282565325
"1705",MESSA,IRINOTECAN,,
"1706",MEWO,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.513760471
"1707",MFE280,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.743656993
"1708",MFE296,IRINOTECAN,,
"1709",MFE319,IRINOTECAN,,
"1710",MG63,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.206715479
"1711",MHHES1,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.046031624
"1712",MIAPACA2,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.21262221
"1713",MKN45,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.075805597
"1714",MKN7,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.417916745
"1715",MOGGCCM,IRINOTECAN,,
"1716",MOLP8,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.215999931
"1717",MOLT16,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.021349076
"1718",MPP89,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.478835434
"1719",MSTO211H,IRINOTECAN,,
"1720",NCIH1048,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.041015971
"1721",NCIH1092,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.142945096
"1722",NCIH1155,IRINOTECAN,,
"1723",NCIH1299,IRINOTECAN,,
"1724",NCIH1341,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.194616899
"1725",NCIH1355,IRINOTECAN,,
"1726",NCIH1563,IRINOTECAN,,
"1727",NCIH1568,IRINOTECAN,,
"1728",NCIH1573,IRINOTECAN,,
"1729",NCIH1581,IRINOTECAN,,
"1730",NCIH1648,IRINOTECAN,,
"1731",NCIH1650,IRINOTECAN,,
"1732",NCIH1651,IRINOTECAN,,
"1733",NCIH1666,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.209506392
"1734",NCIH1693,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.313385129
"1735",NCIH1694,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.04943854
"1736",NCIH1703,IRINOTECAN,,
"1737",NCIH1792,IRINOTECAN,,
"1738",NCIH1793,IRINOTECAN,,
"1739",NCIH1869,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",1.70174861
"1740",NCIH1915,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.260307193
"1741",NCIH1944,IRINOTECAN,,
"1742",NCIH1975,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.853643298
"1743",NCIH2009,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.292758912
"1744",NCIH2023,IRINOTECAN,,
"1745",NCIH2030,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.539358318
"1746",NCIH2052,IRINOTECAN,,
"1747",NCIH2085,IRINOTECAN,,
"1748",NCIH2087,IRINOTECAN,,
"1749",NCIH211,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.156739518
"1750",NCIH2122,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.089756981
"1751",NCIH2170,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.163862392
"1752",NCIH2172,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.002771225
"1753",NCIH2228,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.194996953
"1754",NCIH226,IRINOTECAN,,
"1755",NCIH23,IRINOTECAN,,
"1756",NCIH2444,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.618729711
"1757",NCIH2452,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.209673807
"1758",NCIH28,IRINOTECAN,,
"1759",NCIH358,IRINOTECAN,,
"1760",NCIH441,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.199361607
"1761",NCIH460,IRINOTECAN,,
"1762",NCIH520,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.227801815
"1763",NCIH522,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.791150272
"1764",NCIH647,IRINOTECAN,,
"1765",NCIH650,IRINOTECAN,,
"1766",NCIH661,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",0.458387136
"1767",NCIH727,IRINOTECAN,".0025,.0080,.025,.080,.25,.80,2.53,8",7.505040646
"1768",NCIH747,IRINOTECAN,,
