"",Cell_Line,Compound,Doses,IC50
"72",FADU,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.019284135
"73",FU97,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.062858187
"74",FUOV1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.373221964
"75",G361,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.089309976
"76",G401,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.085478991
"77",G402,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.073431857
"78",GAMG,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.109149978
"79",GB1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.768663943
"80",GCIY,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.793316543
"81",GCT,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.330548614
"82",GI1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.198652357
"83",GMS10,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.245301753
"84",GRANTA519,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.010983705
"85",H4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.150771588
"86",HARA,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.212432846
"87",HCC1187,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.531470418
"88",HCC1395,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"89",HCC15,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.038541321
"90",HCC1569,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.201155081
"91",HCC1806,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.06748455
"92",HCC1954,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.048323501
"93",HCC44,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.065585621
"94",HCC56,17AAG,,
"95",HCC70,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.065257996
"96",HCC78,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.80337292
"97",HCC827,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.18870239
"98",HCT116,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.202989653
"99",HCT15,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.592416525
"100",HDMYZ,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.1518711
"101",HDQP1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.122433454
"102",HGC27,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.199818447
"103",HH,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.316189826
"104",HLE,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.63138473
"105",HOS,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.136840746
"106",HPAC,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.090494916
"107",HPAFII,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.151630998
"108",HS578T,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.062882334
"109",HS683,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.143921196
"110",HS746T,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.146164864
"111",HS766T,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.208693713
"112",HS939T,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.030074231
"113",HSC2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.499589235
"114",HT,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.200726017
"115",HT1080,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.113508768
"116",HT1197,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.937179565
"117",HT1376,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.365140706
"118",HT144,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.07971938
"119",HT29,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.016734079
"120",HUCCT1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.091983378
"121",HUH1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.033526562
"122",HUPT3,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.300195903
"123",HUPT4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.010569213
"124",IALM,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"125",IGR37,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"126",IGROV1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.491089851
"127",IM95,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.03782573
"128",IPC298,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.08109536
"129",ISTMES1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.707256138
"130",J82,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.286560714
"131",JHH2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"132",JHH4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"133",JHH6,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.223785281
"134",JHH7,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.088164933
"135",JHOS2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.145015299
"136",JHOS4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.570977688
"137",JM1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.119323969
"138",JURKAT,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.829291582
"139",JVM3,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.076346688
"140",KALS1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.089755602
"141",KARPAS299,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.209358394
"142",KARPAS422,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.204620793
"143",KARPAS620,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.556562603
"144",KCL22,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.10770423
"145",KELLY,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",2.224541187
"146",KG1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.047090092
"147",KLE,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.927676288
"148",KMRC1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.309771448
"149",KMS11,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.033564694
"150",KMS12BM,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.124920338
"151",KNS42,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
